sentence_id,text
S3V0213P0_813,The noble and learned Lord said the Amendment gave no power to the schoolmaster to take steps in his own defence.
S3V0014P0_14409,It was understood that this would be done when the salaries of the English Judges were raised in 1825.
S3V0320P0_3048,But it would not be right in me to set about the liberation of all the people sent to prison because they will not pay fines or obey the order of magistrates to vaccinate their children.
S4V0012P0_14693,For long years the medical profession had denied the possibility of disease being inoculated by vaccination.
S3V0346P0_11093,"The object of legislation should be to get at the real delinquents, and I venture to think that that object would be attained, as far as it is possible for legislation to overcome the cunning of fraudulent persons by the clause which I propose, and which I hope the House will consent to add to the Bill."
S3V0153P0_2603,It was enacted by that measure that a woman might sue for divorce on the ground of the adultery of her husband conjoined with cruelty.
S3V0144P0_19402,"Then in the same year there would cease payments on account of the war, as compared with 1857–8 of about £1, 128, 000, and as compared with 1858–9, of about £2, 500, 000, adding those sums together about £4, 700, 000 in round figures, of charges would not be chargeable in 1861."
S5CV0014P0_22030,"Gentleman has never made the Army a party question, and, although I have had the privilege of sitting through every single speech he has delivered on the Army in this House during the last four years, I do not remember him ever introducing a party note in the discussions."
S3V0042P0_13931,"The same party feelings would still continue to operate, and with parties so equally balanced as they were in that House, it was impossible to suppose, that party feelings would not continue to operate strongly."
S5LV0006P0_8301,I really can only characterise the manner in which this subject has been treated as something very like a breach of faith with Parliament and the country.
S4V0002P0_435,"I feel it will be no use, but I move that this Bill be read a second time this day six months in case I meet with any support."
S3V0216P0_16422,Baronet concluded by moving the Resolution of which he had given Notice.
S4V0111P0_11599,The only other individuals on the Board must he communicants in the Church of England for three years; and they were to be elected only by those who attended the church and contributed to the schools.
S3V0214P0_3351,"The object of the restrictions imposed in the early days of the Church no doubt was to strengthen the idea of the sanctity of marriage, and of man and wife being one flesh, by treating the wife's relations as the husband's."
S3V0049P0_6125,"In proof of the want of system and principle on which money matters were managed, he might state, that the Bank was lending money at no less than four different rates of interest, an arrangement obviously absurd and mischievous."
S4V0192P0_15743,"It was quite true that, in the other case, it technically belonged to the company, but it was due to the man's exertions that the dividend had been earned."
S4V0082P0_7524,Rates have some tendency to stick where they first fall.
S5LV0004P0_10096,"Well, now, there is one source of revenue which we have abused so much already that an increase of rate no longer produces a proportionate or anything like a proportionate increase of yield."
S3V0243P0_2141,"We had done that to a great extent, and he believed we had governed the country to its great advantage."
S3V0310P0_22437,"That offer was refused, and the proprietor kept the farm in his own hands."
S3V0151P0_8618,Members might have met with individual instances of apathy which justified their statements.
S3V0288P0_5955,We wrapped the Union Jack so tightly around the Euler of Egypt that he could not stir himself; we had taken the whole of his Army; and we would not allow him to move a step.
S4V0180P0_16097,He disputed that argument altogether.
S3V0200P0_20119,"The Government had that day introduced almost a new proposition, for, as he read it, he found it substantially lowered the seven years to six years, and still without detriment to the improving tenant."
S3V0154P0_13276,"If so, it would be an argument à fortiori in favour of the plan."
S4V0103P0_13000,The efficiency of the Navy considerably depended on the class of men they got to enter the Navy.
S3V0220P0_19889,Fancy what a disturbance he will cause.
S3V0232P0_6258,"At the same time, he thought it was going too far to say that extraordinary public works were unproductive because they did not produce a revenue."
S3V0332P0_14730,"That, again, is a question I cannot answer."
S3V0310P0_24992,"Expressions of that kind are received with loud applause, and no single Member of Parliament gets up to make a protest against it."
S3V0010P0_762,But what does the French Ministry do?
S3V0104P0_6833,"Gentleman, therefore, in the observations which he has thought proper to make, has only availed himself of a very bold figure—that of taking part for the whole—when he said that all our colonies were discontented."
S3V0336P0_2042,The probate then charged was simply the stamps upon certificates granting to the person making probate the right to administer the property.
S3V0010P0_17702,"The address was couched in the following words:—""""Soldiers of the Royal South Lincoln Militia!"
S3V0324P0_14446,"At the present time there were 6, 000 farmers in Ireland whose terms were running and would shortly expire."
S3V0207P0_10078,"Personation was there extremely rife, and the frauds engendered by secret voting were so great, that it was not often that the return represented public opinion; the evidence adduced before the Committee upstairs went to show that the prevalent cry from North, East, West, and South, in the United States was—""""Vote early, and vote often."
S3V0312P0_26749,"Gentleman kindly say when that Rule as to """"night pairs"""" was established?"
S3V0160P0_19633,It was a dangerous manœuvre for the French to be in possession of Syria.
S5CV0019P0_4170,"A great many speakers, including the Prime Minister, have referred to our legislation with regard to women, and have asked whether it is possible to point to any other country in which women are in a better position."
S3V0120P0_15340,"I regret the vast expenditure of the public money, which is not justified by the circumstances of the case, not by any political expediency."
S4V0082P0_5281,But the interest became payable before the date named.
S4V0001P0_5861,That dynamite wave has spent its force.
S3V0021P0_7475,The principle involved was by far more important than the sum itself.
S5CV0019P0_24927,"I do certainly hold that both the Duchies are completely and absolutely Crown property, and in that sense ought to be surrendered, and, in the matter of Income Tax, I earnestly hope that no Minister of the Crown will be found to advise His Majesty to be less public spirited and less taxpaying than his two predecessors."
S1V0014P0_3370,"The Papers were then ordered, and Mr. Huskisson presented them from the bar."
S3V0151P0_26939,"The stamps produced in the last quarter, in round numbers, £2, 084, 000; the proportion, according to my estimate, was £1, 962, 000."
S3V0250P0_8234,"He was persuaded that the present system of land tenure in Ireland was chargeable with many, if not with most, of the evils of the country."
S3V0104P0_10064,Gentlemen would get by that cheer.
S3V0235P0_3885,"Sir John Strachey then said that— """"For years before Lord Mayo became Viceroy the ordinary financial condition of India had been one of chronic deficit, for the demands of the Local Governments were unbounded, and there was no limit to their legitimate wants."
S3V0144P0_15762,"It would, therefore, be wasting the time and distracting the attention of the House to endeavour to press forward a subject of such great magnitude, without a fair prospect of pursuing it to an end."
S3V0068P0_11263,"Sir G. Grey in rising to move in pursuance of the notice he had given for leave to bring in a bill for the better application of certain charitable trusts for purposes of education, did not intend to enter into the general question of education which had already occupied the attention of the House during the present Session, and respecting which future opportunities for discussion would arise."
S3V0234P0_23695,"On the sixth occasion that a fine was inflicted the prosecution was conducted by the clerk to the Guardians as their attorney, and the magistrates, in their discretion, allowed him a fee of one guinea as a part of the costs."
S3V0300P0_17202,"The trawlers were a wealthy body, the fishermen were poor; the trawlers were to be found in towns, and the fishermen all round the coast, the latter having few people to speak for them."
S3V0046P0_13619,"The learned Doctor, the Member for the Tower Hamlets, had observed, that whatever expressions might have been used in noticing the propriety of defending the interests of British commerce, he hoped, that nothing which took place that night might interfere with our friendly relations with France."
S4V0024P0_16079,"Representations were made in this regard when the Act of 1889 was going through the House, but no change was made."
S3V0267P0_21234,"To take the case of France, which had been taken as the chosen exemplar of British progress for the future, they found the House of Deputies representative of nothing but numbers."
S5LV0006P0_10527,"The matter will be settled by the people, and therefore we may be indifferent. """""
S3V0148P0_13829,"When, however, serious doubts were entertained upon a question of so much importance, not only by laymen but by lawyers, surely legislation ought to be applied to declare what the law was."
S1V0040P0_11544,"Any negotiation which could be carried on would be with the Porte and not with Ali Pasha: if the place were to be surrendered, it would be to the former."
S1V0001P0_3596,"It was particularly their duty to avoid giving the slightest ground of suspicion, or suffering any one to fancy that the affairs of that country were not fully attended to."
S3V0014P0_15967,"Nor did he see how France could resist Russia, combined as she would be with the powers of Austria and Prussia."
S3V0047P0_8394,Was it adopted upon a division?
S3V0305P0_21162,It is my belief that no class will have suffered more than the landlords from the suppression of Irish autonomy.
S2V0015P0_12571,"To apply the principles of a science for the regulation of making and using national wealth, was an assumption that could not hold."
S3V0170P0_4921,"They could not go beyond remonstrances, and the appeal ad misericordiam , except they were ready to undertake a war with Russia."
S4V0032P0_12494,"They were principally located in seaports; and if on that or any other account more were required, it would not be difficult to add to their number, while it would cost less to utilise them and their services than to create new examiners for this purpose."
S3V0299P0_603,"There has been a great agrarian agitation, and that has been met by legislation of a drastic, vast, and far-reaching kind."
S3V0317P0_12655,"When storms arise there is usually a block of vessels in the old harbour, while the new harbour is only partially available, owing to the danger and obstruction of these rocks; and what I want to ask the Secretary to the Board of Trade is, whether he will take steps to carry out the original scheme, so as to get rid of those rocks and to make the harbour what it ought to be—namely, a splendid national harbour, worthy of the great amount which has been spent upon it?"
S3V0076P0_9353,"He hoped when the Government came to hear the arguments against the applica- tion of the Chandos Clause to Ireland, that they would be induced, in the Bill they would introduce next Session, to abandon it; and he was, therefore, disposed to think that the proposed discussion upon the second reading, might be of some advantage, with a view to the introduction of a better measure next Session."
S3V0113P0_11688,It was a voluntary proposition on the part of a Gentleman representing the Government; it was a proceeding of the Administration.
S4V0164P0_19181,He did not suggest that on behalf of the landlords but on general grounds.
S1V0014P0_3599,"The garden where he was permitted to walk was only separated from the space allotted to the other prisoners by a stockade, which did not prevent communication, and of this Mr. Wakefield had availed himself for the purpose mentioned."
S3V0182P0_7289,Such were some of the altered conditions of modern warfare.
S3V0203P0_17071,I am not quite satisfied with the answer given by the Secretary of State for War this evening as to the state of our national defences.
S2V0018P0_12639,"I trust, therefore, that I may be at liberty to discuss this question, and to consider its merits in the various views which I may feel it incumbent on me to take of it, without subjecting myself to the imputation of indulging in hostility or bigotry to any class of my fellow-subjects."
S3V0197P0_5561,"Noble Lords opposite laugh, but it is evident that the object is to estimate the money value at the rate which could have been obtained in the market previous to the passing of this Bill."
S3V0240P0_18687,"This had been done, in fact, from time to time, as when judicial powers, nominally vested in the Crown, were delegated to those from whom they could not now be taken away."
S3V0288P0_24402,"Gentleman in his speech referred to a variety of topics of ancient history; but the real question they had to consider was the state of the law at present, and not the state of the law a long time ago."
S3V0267P0_11581,"Debts used to be collected through the intervention, first of the Cadi, who sold his justice, and next through the Mudir, or Provincial Governor, who alone could execute the sentences, and whose services were equally venal."
S4V0194P0_11576,"Similarly, children remanded by the Courts were; to be kept in these places instead of being remanded to a prison."
S3V0331P0_4696,"The Act was passed for the purpose of relieving small and impoverished and disturbed tenants in Ireland, but the money granted had gone into the pockets of the rich tenants and the rich landlords in that portion of Ireland which was not disturbed, and which did not require the money."
S3V0246P0_23147,The latest information that I have as to the actual amount of expenditure does not go down later than the 20th of April.
S3V0115P0_3951,"The House, he trusted, would appreciate the reasons why he (MR."
S4V0143P0_6604,"That applied to full-grown men, but in this case they were dealing with boys."
S3V0068P0_15761,"In the first place, by giving the veto to the Bishop of the diocese in the appointment of the school master, and by providing, that the master, if required, shall teach portions of the Liturgy on Sundays, it is evident that the master must always be a member of the Established Church."
S3V0136P0_13065,The measure was then a very unpopular measure; and yet there was no restriction imposed of the nature stated.
S3V0087P0_8775,"A petition was then addressed to the Duke by the Presbytery of Lockerby, the receipt of which was merely acknowledged."
S3V0204P0_23886,"Thus it happened that newspapers containing the particulars reached Torpey at Amsterdam one morning, at the very time the police were prepared to arrest him."
S4V0042P0_12311,He thought it was most likely that Prance would take that view.
S4V0011P0_16721,"From a glance at the map and the insignificant size of our country, one was utterly unable to conceive the enormous power which had been built up by years of battle, and toil, and perseverance, no doubt greatly assisted by the mineral wealth of which the country early found herself possessed in the shape of coal and iron, and but for which, he was afraid, they would be an insignificant part of the globe."
S4V0151P0_6907,I beg to ask the Secretary of State for the Colonies whether he is yet in a position to announce when a railway is to be sanctioned in Northern Nigeria from a point on the river to Zaria; and whether the proposed railway will be a light or a heavy one.
S3V0140P0_23066,"It must be admitted that that was a most essential thing; but here there was only a canal, the water of which could not be made available, as it was private property."
S3V0141P0_22321,"Her troops, however, depend on the resources of Georgia, and to 1600 get there she has to cross the steppes of Southern Russia, then by the causeway constructed by the Empress Catherine, over the Caucasus, and then to pass through a rugged country occupied by fierce tribes."
S3V0223P0_7661,"The others were effective men, who were nut enrolled in the sense of being enrolled in the Army but were effective men for garrison or the easier duties of a soldier's life, if their services should be required."
S4V0126P0_4805,I think that probably there is a certain convenience to those who are really travelling by rail that they should get refreshments earlier and later than the ordinary opening hours of public-houses.
S4V0171P0_9819,"The Report referred to was based upon a misunderstanding which is regretted, but I understand the facts to be as I have stated."
S2V0010P0_4662,"Did sir W. A'Court withdraw himself from the Spanish government, in accordance with instructions which he had received from home?"
S3V0276P0_20398,He considered himself entitled to call the attention of the Committee to this subject while the present Vote was under discussion.
S4V0011P0_21416,"They come in gradually, because the benefits of the arrangement impress themselves on the minds of men."
S3V0323P0_26315,"By agreeing to this measure they would establish the principle that if a tenant, whether judicial or non-judicial, only withheld his rent and refused to pay it, a Bill would be brought into Parliament to whitewash him, and clear off his debts."
S4V0083P0_8779,Member for East Islington suggested that local enterprise—although he was speaking from a London point of view—would be sufficiently adequate to put all those evils of which we complain in order.
S3V0148P0_19455,"To a general policy of annexation, not merely he (Mr. Vernon Smith), but every man of sense, must be opposed; nor was it part of the spirit of any Court of Directors or of the Home Government: yet in spite of all the declarations, both oral and written, made by the Court of Directors and by different Ministers, almost every Governor General had added something to our possessions."
S3V0041P0_9076,"They have devised a new kind of slavery, and a new kind of slave trade; and this invention the noble Lord has, by an order in council, dated the 12th July, 1837, fully sanctioned."
S3V0049P0_2252,"The first point on which he would address their Lordships was the bastardy clause, which, when the original bill was before the House, he did all in his power to induce their Lordships to alter."
S3V0230P0_24463,They were very much mistaken.
S3V0243P0_24225,"It contained upwards of 7, 000 signatures, all duly certified with name and address."
S3V0040P0_11923,Schools that were not under the parochial system were a great deal better managed than parochial schools at present.
S4V0126P0_14480,The policy now before the House has been urged on the ground that it is our national duty to deal with the necessities of those who have suffered in the West Indies.
S3V0105P0_4377,"He agreed, also, with the noble and learned Lord in deploring the differences which unhappily existed on this subject among the members of the Episcopal Church in Scotland, though he believed that those differences did not prevail by any means to the extent the House might have been led to suppose from the speech of the noble and learned Lord."
S3V0347P0_11982,"I feel sure that if the Secretary of State for War had to re-construct the Office throughout, he would place it on a very different footing from that on which it stands at present."
S3V0183P0_23445,"But when the question comes to be considered hereafter, at that reasonable distance of time when we may now contemplate its being examined again, if the country should think a further change necessary, I do not disguise my opinion that the change which will ultimately be made ought to be a change to the old constitutional principle of rated household suffrage."
S3V0222P0_12547,"This is most desirable, but we submit that the Bill defeats its own aim by imposing such regulations and restrictions as must tend to prevent registration on the one hand, and to drive societies already registered to form themselves under the Companies Acts on the other."
S3V0140P0_22523,"However, the gallant General demurred, saying he could not see the convoy."
S4V0146P0_13582,"At the present moment a great deal of the complaint against the National Telephone Company was due to the fact that, apart from London, there was no interchangeability between the two systems."
S3V0128P0_17897,"Sir, I understood the challenge to be this: to call on my noble Friend to prove that there was such a general and systematic violation of the law as demanded legislative interference."
S4V0022P0_13205,"He would also like to know whether Sir Donald McNeil was connected with the Board, and whether he was not the same man who associated himself very actively, two or three years ago, with the colonisation scheme, which was a, scheme promoted by commercial speculators?"
S3V0005P0_11848,"In the case of Westminster and Mary-la-bonne, they had insisted on giving two Representatives to each district; while, with respect to Wolverhampton, they had resolved to confound the town with the neighbouring districts, and give them common Representatives."
S3V0336P0_2680,Member will put down the question for Monday I will answer him then.
S4V0138P0_18612,"Magistrates had to obtain the full monopoly value for a new licence, and therefore the owners of trust public-houses would be called upon to pay for the carrying on of a lucrative trade which they did not intend to avail themselves of."
S3V0200P0_12648,"Lands acquired in Mortmain, whether under deeds enrolled or by secret means, are taken out of the market for ever; they cease to be the subject of conveyance, mortgage, settlement, and testamentary disposition, and thus the revenues of the country are, and will be, continually lessened."
S3V0243P0_28045,Gentleman the Member for the City of London (Mr. J. G. Hubbard) was for introducing his Motion on the second reading of this Bill.
S2V0023P0_8434,"Many articles of British manufacture were there charged with a duty of fifteen, twenty-five, and some as high even as fifty-five per cent."
S3V0186P0_7420,"They had not had the same opportunity as the country constabulary of distinguishing themselves; but, from his knowledge of the way in which they had discharged their arduous and responsible duties, he felt confident that they would have exhibited the same zeal and the same courage had they been placed in the same circumstances."
S3V0119P0_17437,"In order that he (Sir B. Hall) might not be charged with presumption, he would not rely upon his own words in addressing what was called the country party, but he would quote the language of one for whom that party once entertained the greatest respect, and of whom he was quite sure the Chancellor of the Exchequer entertained the very highest opinion."
S3V0308P0_7176,"It was clearly an accidental provision, and the right place to discuss that provision would have been when the Bill got into Committee."
S1V0040P0_914,"Some few years ago, the friends of the Roman Catholic claims thought it right, that, in return for the removal of all disabilities from the Roman Catholics, certain concessions should be made on their side, such as some interference of the Crown in the appointment of the Roman Catholic superior clergy, and some restrictions on the communications with the see of Rome, called the Veto, and the regium exequatur."
S4V0167P0_9582,Under the Bill as it had come down from the Peers the teacher was to have liberty to volunteer to give denominational instruction.
S3V0267P0_9714,"At that meeting he also spoke in very contemptuous terms of the Chief Secretary, and reminded the farmers that, whether in power or out of power, he had never lost an opportunity of voting for coercion, and that when in power he had voted oftener for it."
S3V0202P0_5905,"In Committee there was considerable discussion on the clause, and he suggested words to which the noble Duke opposite assented; but a rather impetuous movement in the House defeated the object they had in view."
S3V0252P0_6894,Yet the present case was still more serious.
S3V0014P0_7011,"In 1815, Russia was adverse to the union of the two countries, but since that period family connexions had been formed, private and personal interests had been added to political relations, and Russia had become indisposed to any arrangement that should render less valuable the inheritance of a prince connected by the ties of marriage with the Imperial House of Russia."
S4V0079P0_20160,I cannot admit that Liverpool and Manchester will be in the slightest degree damaged by the Bill except in so far as the cable goes through their streets; and there is certainly no power given to the company to compete with the municipalities in the supply of electrical energy unless the local authorities desire them to do so.
S3V0227P0_18672,"All this he had done with no offensive intention to any foreign Power; on the contrary, with a great desire to preserve peace, but with a great desire, too, that England should be known not to be giving up the position to which she was entitled in Europe and in respect of her colonial possessions."
S3V0011P0_7514,"They added, that such addition was unnecessary for the purpose of forming a sufficient constituency, as there were about 500 houses worth 10 per annum in Stamford, and they concluded by praying that if the scot-and-lot franchise was to be annihilated, St. Martin's parish might not on that, or any other account, be added to the borough; and that if, in the opinion of the House, that addition should appear proper, then they prayed that, the borough might be wholly disfranchised, and the right of returning Members transferred to some of those important towns omitted in the Reform Bill, where the voters might not be exposed to similar persecution for the free exercise of the elective franchise."
S4V0119P0_17037,They were very as independent independent indeed!
S3V0046P0_6123,He said Government had ample means of protecting British commerce.
S3V0111P0_3249,"The conduct of his noble Friend reminded him strongly of a couplet in Pope's """"January and May""""— """"Firm and determined in his mind was be, As those who ask advice are wont to be. """""
S3V0241P0_13051,"The Corporation had behaved with true nobleness of spirit in this matter, and had expended large sums in the promotion of this great public object."
S3V0089P0_11073,"In the next place, they would engage them at the times when they were wanted, and at the places where their services were required."
S1V0036P0_4038,"Every profit, even the smallest, derived from such a loan, was branded with the name of usury; and it was with a view not so much to limit the rate of interest, as to protect * See Vol."
S3V0194P0_989,"My noble Friend the Chairman of Committees has urged that to proceed by Standing Orders with reference to the Business of the House is preferable to legislation, because Standing Orders can be suspended in case of necessity."
S3V0211P0_16130,Nobody who knew anything about the law or the history of those matters could contend that they were the representative body of the Church of England.
S3V0062P0_11299,"If the principle upon which he proposed to act in respect to foreign copper were right, then why did he not stand to it in respect to foreign sugar."
S3V0203P0_1699,"But the question was of much more importance, and he exhorted Gentlemen of the Liberal party, now that the game question and the county jurisdiction question were so much the fashion—and now that other measures were being taken, the direct effect of which was to drive away landlords from their estates and induce them to spend their lives in foreign capitals—to make up their minds on the question of policy whether it was desirable or not that landlords should reside on their estates."
S5LV0004P0_10879,"Mr. Chamberlain endeavoured to show that from his point of view the duties he proposed to impose were such as would not cause inconvenience to any sections of the community, yet on the whole they would not affect the working classes more than to the extent of 2 d ."
S4V0125P0_7850,He feared it would only concentrate on the lesser number what both burgh magistrates and county magistrates had hitherto felt to be an intolerable nuisance.
S4V0045P0_24788,It was intended under that system to have at home precisely the same number of battalions as were abroad.
S3V0135P0_15985,"Consequently, we could not accuse Russia of having in any way acted contrary to the spirit of the convention of 1815; and, therefore, we could not with honour have refused to continue the payments on account of the Russian-Dutch loan, in consequence of the occurrence of an event which Russia was willing to prevent, but which we approved, and which we desired Russia not to attempt to prevent, but, on the contrary, to assent to."
S4V0123P0_5169,"He desired also to know what progress had been made in facilitating communication between the lightships on the coast and the shore lighthouses, so that in the event of shipwreck instant communication could be obtained with the coastguard and lifeboat services."
S3V0137P0_1831,"This return clearly showed that the system of carrying horses by steam vessels was certainly to be preferred to that of sailing vessels; but when steam vessels could not be obtained, recourse must be had to sailing vessels, to comply with the exigencies of the service."
S3V0272P0_27194,"No more fair statement could have been made in many respects, and none that could have more completely justified the conduct of Her Majesty's Government."
S5LV0006P0_6736,"What we all wanted was to get the most absolute and complete security which is possible for the maintenance of the Protestant Succession, without using language calculated to give offence to our Roman Catholic fellow-subjects."
S3V0205P0_17915,"If that is so, let us consider what the effect of such a measure so adopted would be."
S2V0012P0_11352,"In consequence of a rescue, Mr. Power ordered out the armed police, and one of the country people was shot."
S3V0240P0_8357,What was the form and what was the nature of the Motion of his noble Friend?
S3V0078P0_19797,No doubt it is to be lamented that a public feeling arose in France to paralyse the efforts which had been made in respect to the Right of Search.
S3V0031P0_4878,"Was it to be said that the House of Commons, acting as a check upon the expenditure of every other public department, shrunk from looking at the salaries of their own servants?"
S3V0153P0_14485,"If not, then I must say I cannot blame the noble Lord for moving an Amendment, not to the second reading of the Bill, (for after that Amendment the Bill may be read a second time) but for moving such an Amendment as would constitute a declaration made by the House, that this question of the identity of the franchise is not to be considered as vital to the measure."
S3V0085P0_7066,"Members by bringing forward this isolated case, when there were no means of meeting it on the instant?"
S3V0280P0_22316,"Surely, if they had made it illegal to convey voters to the poll in the Scotch boroughs, there was no reason—at all events as far as he could see—why it should not be illegal to convey voters to the poll in the English boroughs."
S3V0325P0_9363,"Again, in one case a medical man, under a Board of Guardians, as medical relief, actually ordered a sewing machine."
S3V0012P0_702,He believed that they earnestly desired a settlement of the question.
S3V0084P0_1935,"This was his indignant remonstrance to the heads of the Church, who prevented any reform in the tithe system."
S3V0302P0_17749,We are told that there are safeguards against it such as the appropriation on Public Accounts Committee and the audit.
S3V0005P0_11227,"When, therefore, they differed on first principles, it was not for the House, but the country, to decide."
S3V0151P0_15587,He should not object to put such a provision in the Bill if he could satisfy himself of the possibility of framing a clause that would cover all that was wanted and nothing more.
S5CV0005P0_225,"Gentleman quoted is a fairly accurate report of what I said, with the exception of how they are to be assessed."
S3V0016P0_8359,"It had already excited considerable animosity between opposite parties in Ireland, and was calculated to lead to a separation between Ireland and England."
S3V0197P0_15437,"But this clause did afford the best possible way of putting a great principle to the test, —namely, whether or not and to what extent the members of other religious bodies than the Church of England should be permitted to enjoy the full rewards of University distinction."
S1V0035P0_12847,It was a transfer of the produce of our land to America in the shape of merchandize—of the original cost of manufacturing which the consumer paid no part.
S3V0351P0_9187,"They said— """"So that we crave pardon, Sir, if we say it was fit for the honour of your dominions, that some part of it should never be conquered."
S3V0227P0_17024,"So little public spirit has the corporation that it insisted on a payment being made by the revising barrister for sitting in the Town-hall to revise the county list, which has led him to hold his sittings at an hotel."
S3V0149P0_15340,With regard to the dockyards it is well-known by those who have attended to those matters that most of them arc inconveniently small in area.
S4V0139P0_5230,"If he had aken that elementary step he would have found that the meaning of the Bill as originally introduced was the same on this point as now, though it was not so well expressed."
S3V0234P0_28202,"All the proceedings of the Select Committee were somewhat beyond the powers which the Committee had had entrusted to them by the House, and it was necessary therefore, if the alterations in the Bill were to be maintained, that the Committee should receive fresh instructions."
S3V0216P0_17381,"That exemption was not absolute, because it was in the power of the local authorities either to rate or to exempt them."
S3V0215P0_4608,They are all turned out of the same manufactory.
